"","sample","lang","cregion","state","sex","q1","q3","eminuse","intmob","bbhome3a","bbhome3b","bbhome3c","bbhome3d","bbhome3e","cable1","date3a","date3b","date4a","date4b","date4c","date4d","date4e","date4f","game1","game2a","game2b","game2c","game2d","game2e","game2f","game3a","game3b","age","marital","hh1","par","educ2","party","ideo","hisp","race","employed"
"298",1,1,1,36,1,1,2,2,1,3,2,2,2,3,1,1,2,2,2,2,2,NA,1,2,2,1,3,3,1,3,2,2,32,1,2,2,8,3,3,2,1,1
"300",1,1,2,26,2,1,3,1,1,2,2,1,1,2,1,2,2,2,2,NA,NA,NA,1,2,2,2,NA,2,NA,2,NA,1,83,1,1,2,4,3,1,2,1,1
"304",1,1,1,36,1,3,3,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,2,2,2,2,2,2,2,NA,1,2,24,6,2,2,6,3,3,2,3,1
"305",1,1,1,36,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,2,1,1,3,3,1,3,1,1,2,21,2,2,2,6,2,4,2,1,1
"307",1,1,2,20,2,2,3,2,2,3,3,3,3,3,1,2,2,2,2,1,2,2,1,2,NA,2,2,2,2,NA,NA,NA,77,5,1,1,7,3,3,2,1,1
"308",1,1,3,48,2,2,3,2,2,1,1,1,1,1,1,2,2,2,2,2,1,2,1,2,2,1,1,1,2,NA,1,1,61,6,4,NA,3,2,3,2,2,0
"312",1,2,3,12,2,1,3,1,1,1,3,3,3,3,1,2,2,2,2,1,2,2,1,2,2,2,2,1,NA,1,2,1,27,2,3,1,2,NA,5,1,1,1
"314",1,1,2,17,2,1,3,1,1,3,1,1,1,1,1,2,2,2,2,1,1,2,1,2,3,1,NA,3,NA,NA,1,1,61,1,2,2,4,1,1,2,1,1
"315",1,1,2,31,1,2,2,1,1,3,3,3,3,3,1,2,2,1,1,2,2,2,2,2,2,3,3,2,3,NA,1,2,52,1,2,1,6,3,2,2,1,1
"316",1,1,2,26,1,2,2,1,2,2,2,NA,NA,2,1,2,2,2,NA,1,NA,NA,1,2,NA,1,NA,NA,NA,NA,NA,1,75,1,2,2,6,1,1,2,1,1
"317",1,1,1,34,2,1,3,1,1,2,NA,2,2,2,1,2,2,2,2,NA,NA,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,64,1,2,2,8,NA,NA,2,1,1
"319",1,1,1,25,2,2,2,1,2,3,3,2,3,3,1,1,1,1,1,2,2,NA,2,1,2,2,NA,3,NA,3,NA,NA,65,3,1,2,4,3,3,2,1,1
"320",1,1,1,33,1,1,3,1,1,3,1,1,NA,NA,1,2,2,1,1,2,2,1,1,2,NA,1,NA,NA,NA,NA,1,2,79,2,2,2,4,1,1,2,1,1
"321",1,1,2,18,1,2,2,2,2,2,1,1,2,2,1,2,2,2,1,2,1,1,1,2,1,NA,2,NA,NA,NA,1,2,63,1,3,2,5,2,3,2,1,1
"323",1,1,2,27,1,1,2,1,1,3,3,3,3,3,1,NA,2,NA,NA,NA,NA,NA,NA,1,1,3,1,2,2,2,2,2,26,1,4,1,3,NA,3,2,1,1
"327",1,1,3,1,1,4,4,1,1,1,1,1,1,1,1,2,2,1,1,2,2,2,1,1,2,1,3,2,3,NA,2,2,47,3,2,1,4,3,2,2,1,0
"330",1,1,3,37,2,1,3,1,2,2,2,2,2,2,1,1,1,2,2,2,2,2,1,2,2,2,NA,2,NA,2,2,NA,51,1,4,2,4,2,2,2,1,1
"331",1,1,2,27,1,1,2,1,1,2,2,2,2,2,1,2,2,1,1,2,2,2,1,2,2,1,2,3,NA,3,2,1,53,1,3,2,6,3,3,2,1,1
"334",1,1,3,37,1,1,3,1,1,3,3,3,3,3,1,2,2,2,2,1,2,2,1,1,3,3,2,2,2,3,1,2,99,1,6,1,7,NA,NA,2,NA,1
